Asin,UserName,Rating,Subject,ReviewDate,Review
B08122HHX9,Ann C. Freed,5.0 out of 5 stars,Good value,"Reviewed in the United States on July 18, 2020",Just perfect for my needs. Nice and light and love the feel if it
B08122HHX9,KJ,2.0 out of 5 stars,Hinge issue,"Reviewed in the United States on October 1, 2020",This series of laptops from Lenovo have hinge issues. Particularly on the left hinge. Mine came with loose LCD frame connection with the hinge.NOT the seller's fault. Seller was great. Fast shipping. Brand new laptop came in sealed box.It's a manufacturing / design issue with Lenovo Yogas.
B08122HHX9,Erika,1.0 out of 5 stars,Touch screen does NOT work,"Reviewed in the United States on September 21, 2020",If I could give this product zero stars I would. Customer service told me to purchase another laptop before they would send me another laptop is not fair. I am a full time college student that does not have an extra 7-800$ sitting around and I need my laptop hence all classes are online at this time. I have yet to hear back from customer service to resolve my complaint. I even had Lenovo technician come to my home to try to fix my laptop and he said I would need a new device. The customer service has not responded. Terrible customer service. Would NOT recommend!
B08122HHX9,Tenuem,2.0 out of 5 stars,"Failed on/off button, slow refund process","Reviewed in the United States on September 28, 2020","This is an attractive laptop with good features at a reasonable price point.  However, the laptop's on/off button failed in less than a month of ownership.  We returned this two weeks ago, but haven't heard back on our refund."
B08122HHX9,Nfansu2,1.0 out of 5 stars,Terrible laptop,"Reviewed in the United States on November 10, 2020","Just few weeks of buying this laptop, it started to have charging issues. First, it will not charge when am using it and is turn. If i plug the charger while laptop is on, the screen will flash on and off constantly. So, it only charge when am not using it and is off.  After that, it stop charging all together. Even if i turn it off, the charger will not charge the battery. It will turn on with charger connected but still will not charge. Just a waste"
B08122HHX9,Sonia,3.0 out of 5 stars,Faulty Keyboard,"Reviewed in the United States on October 6, 2020","The backspace and delete buttons are temperamental. They work sometimes and sometimes they don't. Foolishly, I was hoping the problem would clear up and did not return it within the window. I should have. I'm not sure if a problem with sticky keys is something that can be addressed with the warranty or not. I would NOT recommend it."
B08122HHX9,Saleh,5.0 out of 5 stars,Great Laptop for school!,"Reviewed in the United States on November 2, 2020","With everything online this semester for school, I was looking for a good laptop for taking notes. This laptop works excellently. The touch screen is very nice and responsive and the laptop itself is lightweight and can easily be adjusted to suit your needs. For the best experience writing, I'd recommend getting a stylus, as this laptop does not come with one unless you add it on. All in all, this laptop gives you all the important features that premium ones have while also staying affordable."
B08122HHX9,Shannon,1.0 out of 5 stars,DO NOT BUY THIS DEVICE,"Reviewed in the United States on October 20, 2020","This computer was purchased for online learning this school year. It has completely stopped working and I have had to do complete reset twice. This is not even remotely okay. My eight-year-old daughter does her school work on this device and just runs a few school apps. Nothing she’s doing should crash this machine, but it keeps happening."
B08122HHX9,SREmmons,5.0 out of 5 stars,Solid convertible with very good performance,"Reviewed in the United States on August 21, 2020","I was looking for a new convertible tablet/laptop for my wife. She wanted something small-ish, light, with keyboard and touch screen. Having used only Windows computers, she also wanted Microsoft Windows. The Yoga fit bill, is inexpensive, and made my wife happy. A win on all fronts."
B08122HHX9,hdctx,5.0 out of 5 stars,"Light, compact, stellar screen","Reviewed in the United States on November 1, 2020","As light and thin as an older iPad.Bright, sharp screen. Charger cable is a usb, and has a USB port for external drives etc.Sadly no hdmi port.Perfect for my middle schooler to carry to school or just kick back with it in her lap."
B08122HHX9,Dana Lorelle,3.0 out of 5 stars,"After three months, microphone is dead","Reviewed in the United States on October 25, 2020","At first I really liked this laptop. It's nice & light. But I started noticing in zoom meetings that my audio would start sounding robotic. Then, the mic stopped working altogether at around 3 months. Now, I'm having to send it off to be fixed (and yes, Lenovo is covering it), but that still means I'm without a computer for at least a week."
B08122HHX9,Amazon Customer,5.0 out of 5 stars,me encanta!,"Reviewed in the United States on November 10, 2020","es tan preciosa, el tamaño perfecto, dura muy bien y me encanta lo moderna que es, puedo cambiarla de posicion la gente se asombra jajaja la huella me hace mas profesional y puedo tapar la camara para que no pase ningun accidente en mis clases virtuales, creanme hay personas que dejan encendida la camara y no se dan cuenta.se carga rapido, es rapida al encender! una maravilla y todo vino rapidisimo"
B08122HHX9,ALamarNC,4.0 out of 5 stars,Good alternative to Macbook Air,"Reviewed in the United States on October 11, 2020","This laptop is pretty solid and lightweight for the money, compares well to my Macbook Air which cost a few hundred more. It gets hot seemingly at random, though, and the fan can be pretty loud. My Macbook is far less prone to glitches, but I blame that on Windows, not the hardware."
B08122HHX9,Leroy Haynes,5.0 out of 5 stars,"Fast, mobile laptop","Reviewed in the United States on October 2, 2020","My son loves his new laptop. Fast, mobile, and light due to the size. This far this purchase has exceeded our expectations."
B08122HHX9,Sam Yang,1.0 out of 5 stars,computer will shut down randomly,"Reviewed in the United States on August 15, 2020",computer will shut down randomly. would not recommend
B08122HHX9,Ron T,5.0 out of 5 stars,Great!,"Reviewed in the United States on September 2, 2020",4 days in and loving it so far! Super light and streamlined with an easy to use interface. Very fast processing and high quality screen. Enjoying the tablet mode too. Recommend!
B08122HHX9,C. U. Latr,5.0 out of 5 stars,Great Laptop,"Reviewed in the United States on October 11, 2020",My son uses this laptop every day.Loves ut
B08122HHX9,lmich,1.0 out of 5 stars,Terrible wifi reception and worse support,"Reviewed in the United States on May 18, 2020","I loved this computer when I first got it, but within months realized that the slow wireless reception i was receiving was not due to my ISP deficiency but to the Lenovo computer itself (this problem is all over reviews elsewhere but somehow I missed it before purchasing).  Now we are experiencing COVID and I really need this computer to perform but. Lenovo's service, at least at this time, is very poor.  During such a time a drop in service is expected in most industries but Lenovo service is the worst I have experienced so far.It is not possible to reach a tech support person by phone, and if you request a call back it can occur any time within 48 hours and you need to be ready and available when it comes.  When I got my call back two days later I was in the car and was told i would receive another call at an appointed time that evening but the call never came.  I also tried creating a support request ticket through their website but I got a message that my product is not supported (this is a new model and a new computer).  I tried a chat support but the chat tech initially made, umm.. let's say less than logical recommendations, and then apparently got some help because the later recommendations were highly technical and involved advanced settings, as well as updating drivers, and the instructions did not match the option choices in he settings.  Desperate for a solution, I finally spent virtually all night researching this problem on Youtube and I think made some progress with part of the problem, but thought it would be a good idea to follow the tech's instruction to make sure all the recommended updates were installed.  I installed their recommended bios update and now I have no access to my docking station and all the accessories needed for an intensive work. A new cycle of bad support begins...So now my wifi reception is better, no thanks to Lenovo, but I am not looking forward to another night of research. I did not buy this from Amazon, I bought it from Best Buy but you may as well buy it from Amazon because Best Buy has no better access to support than Lenovo.  Since I value good support and do not enjoy researching this crap when I need to be sleeping, I am going back to Dell where the quality and support is excellent."
B08122HHX9,Amazon Customer,5.0 out of 5 stars,Great laptop,"Reviewed in the United States on September 24, 2020","Very happy with the purchase. Functionality is great, resolution is beautiful, love the back light, sounds fantastic. The only downside is it only has one USB port - I bought a USB splicer to add extra ports and problem solved!"
B08122HHX9,Lori,5.0 out of 5 stars,Nice computer,"Reviewed in the United States on November 11, 2020",Works fine for a day to day multiuse computer.
B08122HHX9,Claudia,5.0 out of 5 stars,Great laptop.,"Reviewed in the United States on September 11, 2020","It is thin, small as I wanted and easy to use. I love Lenovo. Also the weight is great and the charger is small."
B08122HHX9,Davit Grigoryan,5.0 out of 5 stars,Nice laptop,"Reviewed in the United States on July 7, 2020",Good one for it’s price
B08122HHX9,Carolyn,5.0 out of 5 stars,Great quality,"Reviewed in the United States on August 17, 2020",Great product exactly what I was looking for.
B08122HHX9,Brittanie C,5.0 out of 5 stars,Looovve it!,"Reviewed in the United States on August 9, 2020",I honestly love this laptop!
